id,term_en,term_fr,definition_en,definition_fr,source,category
analysis,Analysis,Analyse,,Processus d'examen détaillé d'un élément pour identifier ses composants leurs relations et leurs principes d'organisation,ISTQB CTFL,fundamentals
api,API,Interface de programmation,,Interface qui permet à différents logiciels de communiquer entre eux,General Testing,technical
api_testing,API Testing,Tests d'API,,Tests réalisés en soumettant des commandes au logiciel testé via les interfaces de programmation de l'application directement,ISTQB CTAL-TAE,testing-types
backend,Backend,Arrière-plan,,Partie serveur d'une application qui gère la logique métier et les données,General Testing,technical
bdd,Behavior-Driven Development,Développement piloté par les comportements,,Approche collaborative de développement où l'équipe se concentre sur la livraison du comportement attendu d'un composant pour le client,Agile Testing,methodologies
capture_playback,Capture/Playback,Capture/rejeu,,Approche d'automatisation des tests où les entrées vers l'objet de test sont enregistrées pendant les tests manuels pour générer des scripts automatisés,ISTQB CTAL-TAE,automation
cicd_pipeline,CI/CD Pipeline,Pipeline d'intégration et déploiement continus,,Série d'étapes automatisées utilisées par les équipes de développement et d'opérations pour compiler tester et déployer le code logiciel de manière plus rapide et fiable. Le pipeline automatise les processus d'intégration continue (CI) et de livraison continue (CD) pour améliorer la qualité du code et accélérer les cycles de livraison,DevOps,devops
confirmation_testing,Confirmation Testing (Retest),Test de confirmation (retest),A type of change-related testing performed after fixing a defect to confirm that a failure caused by that defect does not reoccur,,ISTQB,testing-types
continuous_deployment,Continuous Deployment,Déploiement continu,,Pratique DevOps où les modifications de code sont automatiquement déployées en production après avoir passé tous les tests automatisés prédéfinis,DevOps,devops
continuous_integration,Continuous Integration,Intégration continue,,Pratique de développement où les développeurs intègrent fréquemment leurs modifications de code dans un référentiel central, déclenchant des tests automatisés pour détecter les problèmes d'intégration rapidement,DevOps,devops
contract_testing,Contract Testing,Tests de contrat,,Type de test qui vérifie que les interactions entre les services respectent un contrat défini, particulièrement important dans les architectures de microservices,Microservices Testing,testing-types
data_driven_testing,Data-Driven Testing,Tests pilotés par les données,,Technique de script qui stocke les données de test et les résultats attendus dans un tableau, permettant à un script de contrôle d'exécuter tous les tests,ISTQB CTAL-TAE,automation
defect,Defect (Bug, Fault),Défaut (Bug, Faute),An imperfection or deficiency in a work product where it does not meet its requirements or specifications or impairs its intended use,,ISTQB,fundamentals
error,Error (Mistake),Erreur,A human action that results in a defect,,ISTQB,fundamentals
exit_criteria,Exit Criteria,Critères de sortie,,Ensemble de conditions génériques ou spécifiques, convenues au préalable avec les parties prenantes, pour permettre à un processus d'être officiellement achevé,ISTQB CTFL,process
failure,Failure,Défaillance,An event in which a component or system does not meet its requirements within specified limits during its execution,,ISTQB,fundamentals
frontend,Frontend,Interface utilisateur,,Partie visible d'une application accessible via le navigateur web,General Testing,technical
gtaa,Generic Test Automation Architecture (gTAA),Architecture générique d'automatisation des tests (gTAA),,Représentation des couches, composants et interfaces d'une architecture d'automatisation des tests, permettant une approche structurée et modulaire,ISTQB CTAL-TAE,automation
gui_testing,GUI Testing,Tests de l'interface graphique,,Tests réalisés en interagissant avec le logiciel testé via l'interface utilisateur graphique,ISTQB CTAL-TAE,testing-types
incident,Incident,Incident,,Tout événement arrivant pendant les tests qui requiert une vérification. Divergence entre le résultat obtenu et le résultat attendu lors de l'exécution d'un test,ISTQB,fundamentals
keyword_driven_testing,Keyword-Driven Testing,Tests pilotés par les mots-clés,,Technique de script qui utilise des fichiers de données contenant non seulement les données de test mais aussi des mots-clés liés à l'application testée,ISTQB CTAL-TAE,automation
linear_scripting,Linear Scripting,Script linéaire,,Technique de script simple sans structure de contrôle dans les scripts de test,ISTQB CTAL-TAE,automation
logging,Logging,Journalisation,,Processus d'enregistrement des événements, erreurs et informations système pendant l'exécution des tests pour faciliter le débogage et l'analyse,General Testing,technical
measure,Measure,Mesure,,Nombre ou catégorie assigné à un attribut d'une entité par le biais d'une mesure,ISTQB CTAL-TM,metrics
metric,Metric,Métrique,,Échelle de mesure et méthode utilisée pour la mesure,ISTQB CTAL-TM,metrics
model_based_testing,Model-Based Testing,Tests basés sur des modèles,,Tests basés sur ou impliquant des modèles du système ou de ses composants,ISTQB CTFL,testing-types
risk,Risk,Risque,,Facteur qui pourrait entraîner des conséquences négatives futures,ISTQB CTFL,management
regression_testing,Regression Testing,Test de non-régression,A type of change-related testing to detect whether defects have been introduced or uncovered in unchanged areas of the software,,ISTQB,testing-types
schema_validation,Schema Validation,Validation de schéma,,Processus de vérification qu'un document ou une structure de données respecte un schéma prédéfini,API Testing,technical
sdlc,SDLC (Software Development Life Cycle),Cycle de vie du développement logiciel,,Processus structuré de développement logiciel comprenant les phases de planification analyse conception implémentation test déploiement et maintenance. L'automatisation des tests doit être intégrée à travers toutes ces phases pour assurer une qualité continue,IEEE 12207,process
static_analysis,Static Analysis,Analyse statique,,Analyse du code ou des documents sans exécution du programme pour détecter des défauts potentiels ou vérifier la conformité aux standards,ISTQB CTFL,techniques
structured_scripting,Structured Scripting,Script structuré,,Technique de script qui utilise des structures de contrôle et une organisation hiérarchique pour améliorer la maintenabilité,ISTQB CTAL-TAE,automation
sut,System Under Test (SUT),Système sous test,,Système qui est testé pour un fonctionnement correct. Selon ISTQB, il s'agit de l'objet de test,ISTQB CTFL,fundamentals
tas,TAS (Test Automation Solution),Solution d'automatisation des tests,,Ensemble complet d'outils de processus et de ressources mis en place pour automatiser les activités de test dans un contexte donné,ISTQB CTAL-TAE,automation
test_automation,Test Automation,Automatisation des tests,,Utilisation de logiciels pour effectuer ou soutenir les activités de test, par exemple la gestion des tests, la conception des tests, l'exécution des tests et la vérification des résultats,ISTQB CTFL,automation
test_automation_engineer,Test Automation Engineer,Ingénieur en automatisation des tests,,Professionnel spécialisé dans la conception, le développement et la maintenance de solutions d'automatisation des tests,ISTQB CTAL-TAE,roles
test_context,Test Context,Contexte de test,,Ensemble des conditions et circonstances dans lesquelles les tests sont planifiés et exécutés,ISTQB CTFL,fundamentals
test_harness,Test Harness,Harnais de tests,,Collection d'outils logiciels et de données de test configurés pour tester un programme en simulant l'environnement d'exécution,IEEE 610,tools
test_logging,Test Logging,Journalisation des tests,,Enregistrement automatique des activités et résultats de test pour faciliter l'analyse et le débogage,ISTQB CTAL-TAE,techniques
test_level,Test Level,Niveau de test,A specific instantiation of a test process,,ISTQB,process
test_plan,Test Plan,Plan de test,Documentation describing the test objectives to be achieved and the means and the schedule for achieving them, organized to coordinate testing,,ISTQB,documentation
test_policy,Test Policy,Politique de test,High-level documentation describing the principles, approach and major objectives of the organization regarding testing,,ISTQB,documentation
test_procedure,Test Procedure,Procédure de test,A sequence of test cases in execution order and any associated actions that may be required to set up the initial preconditions and any wrap-up activities after execution,,ISTQB,documentation
test_progress_report,Test Progress Report,Rapport d'avancement des tests,,Document résumant les activités de test et les résultats obtenus pendant une période donnée,ISTQB CTAL-TM,documentation
test_script,Test Script,Script de test,,Séquence d'instructions qui peut être exécutée par un outil d'exécution de test,ISTQB CTAL-TAE,automation
test_step,Test Step,Étape de test,,Action individuelle la plus petite dans un script de test ou un cas de test,ISTQB CTAL-TAE,fundamentals
test_strategy,Test Strategy,Stratégie de test,A description of how to perform testing to reach test objectives under given circumstances,,ISTQB,documentation
test_suite,Test Suite,Suite de test,A set of test scripts or test procedures to be executed in a specific test run,,ISTQB,fundamentals
test_completion_report,Test Completion Report,Rapport de synthèse de test,A type of test report produced at completion milestones that provides an evaluation of the corresponding test items against exit criteria,,ISTQB,documentation
tdd,Test-Driven Development,Développement piloté par les tests,,Pratique de développement où les tests sont écrits avant le code de production,Agile Testing,methodologies
test_adaptation_layer,Test Adaptation Layer,Couche d'adaptation des tests,,Couche dans une architecture d'automatisation des tests qui fournit les interfaces nécessaires pour interagir avec le système sous test,ISTQB CTAL-TAE,automation
test_automation_architecture,Test Automation Architecture,Architecture d'automatisation des tests,,Structure organisationnelle et technique d'un système d'automatisation des tests définissant les composants leurs relations et les principes directeurs,ISTQB CTAL-TAE,automation
test_automation_framework,Test Automation Framework (TAF),Framework d'automatisation des tests,,Infrastructure logicielle qui fournit les outils bibliothèques et conventions nécessaires pour créer et exécuter des tests automatisés de manière structurée,ISTQB CTAL-TAE,automation
test_automation_solution,Test Automation Solution,Solution d'automatisation des tests,,Ensemble complet d'outils de processus et de ressources mis en place pour automatiser les activités de test dans un contexte donné,ISTQB CTAL-TAE,automation
test_histogram,Test Histogram,Histogramme de test,,Représentation graphique de la distribution des résultats de test ou des métriques de test sur une période donnée,ISTQB CTAL-TAE,metrics
testability,Testability,Testabilité,,Degré d'efficacité et d'efficience avec lequel les critères de test peuvent être établis pour un système et les tests peuvent être effectués,ISTQB CTFL,fundamentals
testware,Testware,Artefacts de test,,Tous les produits de travail créés pendant le processus de test incluant les plans cas de test procédures et données de test,ISTQB CTFL,fundamentals